2025-01-21 15:02:35,903 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500555899, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:35,908 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500555906, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:35,914 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500555912, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:35,922 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500555920, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:35,925 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500555924, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,526 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500556524, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,531 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500556529, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,537 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500556536, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,544 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500556540, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,546 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500556545, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,758 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500556755, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,764 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500556762, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,769 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500556767, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,773 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500556771, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,775 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500556774, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,958 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500556954, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,967 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500556964, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,972 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500556971, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,980 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500556977, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:36,984 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500556983, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:02:37,634 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: UNKNOWN, Type: PHISHING, Source: CHECKOUT_POPUP, Component: popup, Site: 5001
2025-01-21 15:03:07,195 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500587183, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,208 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500587204, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,217 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500587212, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,227 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500587222, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,232 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500587229, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,658 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500587653, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,671 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500587667, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:07,682 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500587678, Type: notification, Source: benign, Component: scam, Site: 5001
