2025-01-17 00:39:32,376 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737095972372, Type: banner, Source: main, Component: scam, Site: 5001
2025-01-17 00:39:32,397 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737095972394, Type: popup, Source: main, Component: scam, Site: 5001
2025-01-17 00:39:32,409 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737095972406, Type: notification, Source: main, Component: scam, Site: 5001
2025-01-17 00:39:32,417 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737095972415, Type: adslot, Source: main, Component: scam, Site: 5001
2025-01-17 00:39:32,427 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737095972424, Type: invisible, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:30,341 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737096030338, Type: banner, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:30,350 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737096030346, Type: popup, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:30,370 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737096030367, Type: notification, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:30,383 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737096030380, Type: adslot, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:30,388 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737096030386, Type: invisible, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:35,210 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737096035190, Type: banner, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:35,218 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737096035216, Type: popup, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:35,233 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737096035231, Type: notification, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:35,240 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737096035238, Type: adslot, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:35,246 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737096035245, Type: invisible, Source: main, Component: scam, Site: 5001
2025-01-17 00:40:37,021 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: UNKNOWN, Type: PHISHING, Source: CHECKOUT_POPUP, Component: popup, Site: 5001
2025-01-17 00:40:38,666 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737096038663, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-17 00:40:38,678 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737096038676, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-17 00:40:38,690 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737096038687, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-17 00:40:38,700 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737096038696, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-17 00:40:38,704 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737096038702, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-17 00:40:38,704 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_1_1737096038702, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-17 00:40:38,706 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_2_1737096038703, Type: scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-17 00:40:38,706 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_3_1737096038703, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-17 00:40:38,707 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_4_1737096038703, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-17 00:40:38,708 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_5_1737096038703, Type: scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-17 00:40:39,672 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: UNKNOWN, Type: PHISHING, Source: CHECKOUT_POPUP, Component: popup, Site: 5001
