2025-01-23 14:18:51,745 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:20:37,800 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:20:42,038 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 14:22:03,413 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:22:55,727 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 14:22:57,803 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 14:22:58,933 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:23:05,038 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:23:20,447 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-23 14:23:20,486 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
2025-01-23 14:23:20,495 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-23 14:23:20,517 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 14:23:20,532 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: invisible, Site: 5001
2025-01-23 14:23:43,504 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
2025-01-23 14:23:45,092 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 14:23:46,660 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-23 14:23:50,108 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-23 14:23:53,183 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: banners, Site: 5001
2025-01-23 14:23:53,197 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: popups, Site: 5001
2025-01-23 14:23:53,244 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: notifications, Site: 5001
2025-01-23 14:23:53,262 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: adslots, Site: 5001
2025-01-23 14:23:53,273 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: invisible, Site: 5001
2025-01-23 14:27:12,419 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: banners, Site: 5001
2025-01-23 14:27:12,428 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: popups, Site: 5001
2025-01-23 14:27:12,437 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: notifications, Site: 5001
2025-01-23 14:27:12,470 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: adslots, Site: 5001
2025-01-23 14:27:12,478 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: invisible, Site: 5001
2025-01-23 14:27:23,070 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: banners, Site: 5001
2025-01-23 14:27:23,092 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: popups, Site: 5001
2025-01-23 14:27:23,106 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: notifications, Site: 5001
2025-01-23 14:27:23,118 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: adslots, Site: 5001
2025-01-23 14:27:23,132 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: invisible, Site: 5001
2025-01-23 14:27:24,177 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: product, Component: popups, Site: 5001
2025-01-23 14:27:25,262 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: cart, Component: banners, Site: 5001
2025-01-23 14:27:25,272 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: cart, Component: popups, Site: 5001
2025-01-23 14:27:25,280 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: cart, Component: notifications, Site: 5001
2025-01-23 14:27:25,291 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: cart, Component: adslots, Site: 5001
2025-01-23 14:27:25,299 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: cart, Component: invisible, Site: 5001
2025-01-23 14:27:45,926 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: banners, Site: 5001
2025-01-23 14:27:45,937 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 14:27:45,946 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: notifications, Site: 5001
2025-01-23 14:27:45,961 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001
2025-01-23 14:27:45,978 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: cart, Component: invisible, Site: 5001
2025-01-23 14:27:47,447 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 14:27:50,182 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 14:27:50,921 - 🟢 ATTACK SUCCESS: Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001
2025-01-23 14:27:53,847 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: cart, Component: banners, Site: 5001
2025-01-23 14:27:55,373 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: cart, Component: notifications, Site: 5001
2025-01-23 14:27:57,692 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 14:27:57,705 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
