2025-01-23 15:39:34,710 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 15:39:34,772 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 15:39:34,836 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 15:39:34,979 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 15:39:34,997 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 15:40:13,635 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 15:40:13,666 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 15:40:13,691 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 15:40:13,730 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 15:40:13,752 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 15:51:52,972 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 15:51:53,003 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 15:51:53,023 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 15:51:53,041 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 15:51:53,048 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 15:51:59,949 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 15:52:13,865 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 15:52:15,049 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 15:52:17,134 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 15:52:17,189 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 15:52:17,208 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 15:52:17,221 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 15:52:17,233 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 21:45:54,823 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 21:45:54,833 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:45:54,840 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:45:54,849 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 21:45:54,855 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
