imgUrl,category_name,name,base_price,category,description,stock
https://m.media-amazon.com/images/I/916g-tNhSvL._AC_UL320_.jpg,Backpacks,Wndr 25L Backpack,75.0,Backpacks,"Introducing the Wndr 25L Backpack - the ultimate companion for your daily adventures. With its sleek design and durable construction, this backpack is perfect for both urban commutes and outdoor excursions. Stay organized on-the-go with its spacious compartments and comfortable carry options.",676
https://m.media-amazon.com/images/I/41ngLbRIq6L._AC_UL320_.jpg,Backpacks,20L Water Resistant Hiking Daypack Lightweight Packable Backpack for Travel Camping Outdoor (BLACK),9.49,Backpacks,"Gear up for your next adventure with our 20L Water Resistant Hiking Daypack in sleek black. This lightweight and packable backpack is perfect for travel, camping, and outdoor excursions. Stay organized and keep your essentials dry with this durable and versatile companion by your side.",618
https://m.media-amazon.com/images/I/71+A7UnxfWL._AC_UL320_.jpg,Backpacks,Sling bag for Men Women Casual Crossbody Backpack Shoulder Bag Chest Bag Daypack for Outdoor Hiking Sports,22.99,Backpacks,"Introducing the perfect companion for your outdoor adventures - the versatile Sling Bag for Men and Women! This sleek and durable crossbody backpack effortlessly transitions from hiking trails to city streets, offering convenience and style in one compact design. With multiple compartments and adjustable straps, this shoulder bag is ideal for keeping your essentials organized and close at hand during any outdoor activity.",749
https://m.media-amazon.com/images/I/71Rhl6dw5UL._AC_UL320_.jpg,Backpacks,Canvas Leather Backpack for Women - Casual Style Shoulder Rucksack for Daypack Vintage Backpacks,29.99,Backpacks,"Upgrade your everyday style with our Canvas Leather Backpack for Women. This casual shoulder rucksack combines vintage charm with modern functionality, perfect for carrying all your essentials in style. Whether you're heading to work, school, or a weekend adventure, this backpack is the perfect blend of fashion and practicality.",520
https://m.media-amazon.com/images/I/81wjEk+Q2CL._AC_UL320_.jpg,Backpacks,"LOL Surprise Backpack For Girls Set - 16” LOL Surprise Backpack For School Bundle with Water Bottle, Stickers, More (LOL Surprise School Backpack)",24.95,Backpacks,"Get ready to make a statement at school with this adorable LOL Surprise Backpack Set for girls! This 16"" backpack bundle comes complete with a matching water bottle, stickers, and more, making it the perfect back-to-school essential for any LOL Surprise fan. With its vibrant design and ample storage space, this backpack is as stylish as it is functional, ensuring your little one will stand out in true LOL Surprise fashion.",60
https://m.media-amazon.com/images/I/51mxz14dwiL._AC_UL320_.jpg,Backpacks,"ALIENTABI Spare Upper Fixing Block, Suit for 3 Gallon ALIENTABI Backpack Sprayer",15.99,Backpacks,"Upgrade your ALIENTABI Backpack Sprayer with the ALIENTABI Spare Upper Fixing Block. Specifically designed to fit 3 Gallon ALIENTABI models, this fixing block ensures a secure and stable connection for worry-free spraying. Keep your sprayer in top condition with this essential spare part.",909
https://m.media-amazon.com/images/I/61AY+n4iZQS._AC_UL320_.jpg,Backpacks,"Horse School Backpack for Girls Boys, Animal Flower 16 Inch Kids Backpack Lightweight Water Resistant School Bag Student Bookbag, Laptop Backpack Travel Hiking Camping Daypack",25.98,Backpacks,"Get ready for a wild adventure with this Horse School Backpack for Girls and Boys! Featuring a charming animal and flower design, this 16-inch backpack is perfect for school, travel, hiking, camping, and more. With its lightweight and water-resistant construction, this backpack is the ideal companion for any student or explorer.",954
https://m.media-amazon.com/images/I/71I7ACw0n5L._AC_UL320_.jpg,Backpacks,Kids Backpack Bookbags Daypack for Girls Boys Men Women,15.99,Backpacks,"Introducing the perfect backpack for all ages and genders - the Kids Backpack Bookbags Daypack! Whether you're a student, parent, or professional on-the-go, this versatile bag is designed to keep your essentials organized and secure. With its durable construction and stylish design, this backpack is the ideal companion for school, work, travel, and everything in between.",989
https://m.media-amazon.com/images/I/71ipuL9auOL._AC_UL320_.jpg,Backpacks,"Unisex-Adult Cariboo Backpack, Asphalt, One Size",49.17,Backpacks,"The Unisex-Adult Cariboo Backpack in Asphalt is the perfect blend of style and functionality. With its durable construction and spacious design, this backpack is ideal for everyday use, whether you're commuting to work or exploring the great outdoors. The sleek asphalt color adds a modern touch, making it a versatile accessory for any adventure.",911
https://m.media-amazon.com/images/I/81hl+KQ-ZmL._AC_UL320_.jpg,Backpacks,"Aether 65L Men's Backpacking Backpack, Black, L/XL",238.14,Backpacks,"The Aether 65L Men's Backpacking Backpack in sleek black is the ultimate companion for all your outdoor adventures. With a generous capacity of 65 liters and a comfortable L/XL size, this backpack ensures you have ample space for all your gear while providing a perfect fit. Stay organized and prepared on your next backpacking trip with the durable and versatile Aether backpack.",197
