2025-01-27 22:41:47,111 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: banners, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:47,118 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:47,130 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: notifications, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:47,141 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:47,147 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: invisible, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:48,108 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001, Input Text: 
2025-01-27 22:41:49,847 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: banners, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:49,857 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:49,865 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:49,873 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:49,882 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:50,583 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:52,833 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:52,841 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:52,851 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: notifications, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:52,865 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: product, Component: adslots, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:52,872 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:53,499 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001, Input Text: 
2025-01-27 22:41:55,918 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: banners, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:55,926 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:55,938 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: notifications, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:55,947 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:55,956 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: invisible, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:41:57,403 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001, Input Text: 
2025-01-27 22:42:22,039 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: banners, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:22,061 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:22,072 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:22,085 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:22,095 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:22,812 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:24,772 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:24,781 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:24,792 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: notifications, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:24,811 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: product, Component: adslots, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:24,822 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001, Input Text: UNKNOWN
2025-01-27 22:42:25,735 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001, Input Text: 
