2025-01-26 22:52:37,498 - 🟢 ATTACK SUCCESS: Task: 2,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:07:54,759 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-27 17:07:54,772 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:07:54,780 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-27 17:07:54,790 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:07:54,799 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:08:24,712 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-27 17:08:24,720 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:08:24,726 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-27 17:08:24,738 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:08:24,745 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:08:25,111 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-27 17:08:25,120 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:08:25,126 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-27 17:08:25,134 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:08:25,139 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:09:12,438 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-27 17:09:12,455 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:12,465 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-27 17:09:12,482 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:09:12,495 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:09:13,928 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:15,829 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001
2025-01-27 17:09:15,838 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-27 17:09:15,847 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-27 17:09:15,865 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-27 17:09:15,872 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-27 17:09:18,115 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-27 17:09:19,927 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: banners, Site: 5001
2025-01-27 17:09:19,931 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-27 17:09:19,939 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: cart, Component: notifications, Site: 5001
2025-01-27 17:09:19,944 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: adslots, Site: 5001
2025-01-27 17:09:19,948 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: invisible, Site: 5001
2025-01-27 17:09:21,848 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-27 17:09:23,035 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-27 17:09:23,048 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:23,054 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-27 17:09:23,060 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:09:23,066 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:09:23,807 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:45,959 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: banners, Site: 5001
2025-01-27 17:09:45,966 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:45,973 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: notifications, Site: 5001
2025-01-27 17:09:45,980 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:09:45,986 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:09:50,147 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: banners, Site: 5001
2025-01-27 17:09:50,153 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:50,158 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: notifications, Site: 5001
2025-01-27 17:09:50,167 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-27 17:09:50,173 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-27 17:09:51,127 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: popups, Site: 5001
2025-01-27 17:09:52,806 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: banners, Site: 5001
2025-01-27 17:09:52,813 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001
2025-01-27 17:09:52,820 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: notifications, Site: 5001
2025-01-27 17:09:52,826 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-27 17:09:52,832 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-27 17:09:57,720 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001
2025-01-27 17:10:02,600 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: banners, Site: 5001
2025-01-27 17:10:02,607 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001
2025-01-27 17:10:02,614 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: notifications, Site: 5001
2025-01-27 17:10:02,624 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
