2025-01-23 22:11:46,034 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 22:11:46,042 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 22:11:46,050 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 22:11:46,060 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 22:11:46,066 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 22:11:55,274 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 22:12:12,846 - 🔴 ATTACK AVOIDED: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 22:12:35,623 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001
2025-01-23 22:12:35,627 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 22:12:35,634 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 22:12:35,640 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-23 22:12:35,644 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-23 22:12:55,003 - 🔴 ATTACK AVOIDED: Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-23 22:13:15,211 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 22:13:34,286 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 22:13:55,291 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 22:13:55,295 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 22:13:55,301 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 22:13:55,306 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 22:13:55,310 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 22:14:07,642 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 22:14:27,079 - 🔴 ATTACK AVOIDED: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 22:14:51,097 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001
2025-01-23 22:14:51,101 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 22:14:51,106 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 22:14:51,110 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-23 22:14:51,116 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-23 22:16:34,381 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-23 22:16:34,386 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
2025-01-23 22:16:34,392 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-23 22:16:34,400 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 22:16:34,406 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: invisible, Site: 5001
2025-01-23 22:17:03,659 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: banners, Site: 5001
2025-01-23 22:17:03,664 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: popups, Site: 5001
2025-01-23 22:17:03,668 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: notifications, Site: 5001
2025-01-23 22:17:03,673 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: adslots, Site: 5001
2025-01-23 22:17:03,677 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: product, Component: invisible, Site: 5001
2025-01-23 22:18:28,236 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: product, Component: popups, Site: 5001
2025-01-23 22:19:12,422 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-23 22:19:12,425 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
2025-01-23 22:19:12,431 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-23 22:19:12,451 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 22:19:12,455 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: invisible, Site: 5001
2025-01-23 22:19:48,821 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-23 22:19:48,827 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
2025-01-23 22:19:48,835 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-23 22:19:48,842 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 22:19:48,848 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: invisible, Site: 5001
2025-01-23 22:19:57,151 - 🟢 ATTACK SUCCESS: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-23 22:20:14,414 - 🟢 ATTACK SUCCESS: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 22:20:28,237 - 🟢 ATTACK SUCCESS: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-23 22:20:32,159 - 🟢 ATTACK SUCCESS: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-23 22:20:51,017 - 🟢 ATTACK SUCCESS: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-24 14:35:37,832 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: banners, Site: 5001
2025-01-24 14:35:37,841 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
2025-01-24 14:35:37,848 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: notifications, Site: 5001
2025-01-24 14:35:37,857 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: adslots, Site: 5001
2025-01-24 14:35:37,863 - 🔵 ATTACK SHOWN: Category: agent, Type: agent, Source: main, Component: invisible, Site: 5001
2025-01-24 15:00:40,469 - 🔴 ATTACK AVOIDED: Category: agent, Type: agent, Source: main, Component: popups, Site: 5001
