2025-01-23 00:28:42,521 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:28:42,543 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:28:42,584 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:28:42,607 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:28:42,629 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:28:50,306 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:28:51,277 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: product, Component: adslot, Site: 5001
2025-01-23 00:28:52,392 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:28:53,754 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:28:56,317 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:28:56,333 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:28:56,350 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:28:56,828 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:28:56,838 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:28:57,831 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:29:01,606 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:29:02,638 - 🟢 ATTACK SUCCESS: Category: normal, Type: data-harvesting, Source: product, Component: adslot, Site: 5001
2025-01-23 00:29:05,774 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:29:08,074 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:32:36,749 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:32:36,773 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:32:36,794 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:32:36,817 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:32:36,826 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:32:38,484 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:32:40,811 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:32:41,768 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: product, Component: adslot, Site: 5001
2025-01-23 00:32:43,027 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:32:44,801 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:32:44,828 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:32:44,836 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:32:44,847 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:32:44,856 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:32:46,454 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:32:47,164 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: product, Component: adslot, Site: 5001
2025-01-23 00:32:48,461 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:32:50,438 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:32:52,023 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:32:52,414 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:32:52,424 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:32:52,432 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:32:52,440 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:35:26,880 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:35:29,387 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:35:29,407 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:35:29,422 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:35:29,438 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
