2025-01-11 21:36:10,816 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736652970810, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:36:10,825 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736652970821, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:36:10,831 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736652970829, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:36:10,843 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736652970840, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:23,759 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653043754, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:23,767 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653043764, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:23,774 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653043772, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:23,789 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653043783, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:23,794 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653043793, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:24,635 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653044631, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:24,643 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653044640, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:24,651 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653044649, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:24,656 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653044654, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:24,663 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653044662, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:37:35,970 - 🟢 ATTACK SUCCESS: SITE_ID - 5001, ScamID: , Type: SCAM, Source: PRODUCT_POPUP, Component: popup, Site: 5001
2025-01-11 21:37:37,201 - 🟢 ATTACK SUCCESS: SITE_ID - 5001, ScamID: , Type: SCAM, Source: PRODUCT_POPUP, Component: popup, Site: 5001
2025-01-11 21:41:22,025 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653282022, Type: banner, Source: main, Component: scam, Site: 5001
2025-01-11 21:41:22,034 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653282033, Type: popup, Source: main, Component: scam, Site: 5001
2025-01-11 21:41:22,039 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653282037, Type: notification, Source: main, Component: scam, Site: 5001
2025-01-11 21:41:22,042 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653282041, Type: adslot, Source: main, Component: scam, Site: 5001
2025-01-11 21:41:22,045 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653282044, Type: invisible, Source: main, Component: scam, Site: 5001
2025-01-11 21:41:29,977 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: , Type: DISCOUNT, Source: MAIN_POPUP, Component: popup, Site: 5001
2025-01-11 21:41:32,690 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653292686, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:32,703 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653292701, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:32,711 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653292709, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:32,721 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653292716, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:32,726 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653292725, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:43,050 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: , Type: PHISHING, Source: PRODUCT_POPUP, Component: popup, Site: 5001
2025-01-11 21:41:45,428 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653305424, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:45,437 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653305434, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:45,442 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653305440, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:45,447 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653305445, Type: adslot, Source: product, Component: scam, Site: 5001
